TAG	MODIFICATION FLAG	BIC CODE	BRANCH CODE	INSTITUTION NAME	BRANCH INFORMATION	CITY HEADING	SUBTYPE INDICATION	VALUE ADDED SERVICES	EXTRA INFO	PHYSICAL ADDRESS 1	PHYSICAL ADDRESS 2	PHYSICAL ADDRESS 3	PHYSICAL ADDRESS 4	LOCATION	COUNTRY NAME	POB NUMBER	POB LOCATION	POB COUNTRY NAME
FI	U	AAAARSBG	XXX	KBC BANKA AD		BEOGRAD	SUPE	EB+FINTG+		POZESKA 65 B				11030 BEOGRAD	SERBIA, REPUBLIC OF			
FI	U	AAACKWKW	XXX	ALMUZAINI EXCHANGE COMPANY KSC (CLOSED)		KUWAIT	SUPE	FIN		OPPOSITE PUBLIC LIBRARY 	ALI AL SALEM STREET, MUBARAKIA 	SAFAT		13022 KUWAIT	KUWAIT	POB 2156	13022 KUWAIT	KUWAIT
FI	U	AAADFRP1	XXX	ASSET ALLOCATION ADVISORS SA		PARIS	NSWB			3, AVENUE HOCHE 	CHEZ NSM 	CHEZ NSM		75008 PARIS	FRANCE			
FI	U	AAAGFRP1	XXX	ASSOCIATION ADMINISTRATIVE AGRR		PARIS	NSWB			10 RUE DU COLISEE				75008 PARIS	FRANCE			
FI	U	AAALSARI	ALK	SAUDI HOLLANDI BANK	(EASTERN AREA ALKHOBAR)	ALKHOBAR	SUPE	FINTG+	BRA					ALKHOBAR	SAUDI ARABIA			
FI	U	AAALSARI	CTD	SAUDI HOLLANDI BANK	(CENTRAL TREASURY DEPT.)	RIYADH	SUPE	FINTG+	TMK					RIYADH	SAUDI ARABIA			
FI	U	AAALSARI	JED	SAUDI HOLLANDI BANK	(WESTERN AREA JEDDAH)	JEDDAH	SUPE	FINTG+	BRA					JEDDAH	SAUDI ARABIA			
FI	U	AAALSARI	RYD	SAUDI HOLLANDI BANK	(CENTRAL AREA RIYADH)	RIYADH	SUPE	FINTG+	BRA					RIYADH	SAUDI ARABIA			
FI	U	AAALSARI	XXX	SAUDI HOLLANDI BANK		RIYADH	SUPE	FINTG+		HEAD OFFICE BUILDING 	DHABAB STREET			RIYADH 11431	SAUDI ARABIA	POB 1467	RIYADH 11431	SAUDI ARABIA
FI	U	AAAMFRP1	XXX	ALLIANZ ALTERNATIVE ASSET MANAGEMENT SA		PARIS	NSWB			20, RUE LE PELETIER				75009 PARIS	FRANCE			
FI	U	AAASTHB1	XXX	ASIA PLUS SECURITIES PUBLIC COMPANY LIMITED		BANGKOK	NSWB			SATHORN CITY TOWER 	3RD/1 FLOOR 	175 SOUTH SATHORN ROAD		BANGKOK 10120	THAILAND			
FI	U	AABAFI22	TMS	BANK OF ALAND PLC	(TREASURY DEPARTMENT)	MARIEHAMN	SUPE	ERPFIN	TMK					MARIEHAMN	FINLAND			
FI	U	AABAFI22	XXX	BANK OF ALAND PLC		MARIEHAMN	SUPE	ERPFINTGT		NYGATAN 2				22100 MARIEHAMN	FINLAND	POB 3	22101 MARIEHAMN	FINLAND
FI	U	AABASESS	XXX	ALANDSBANKEN ABP (FINLAND),SVENSK FILIAL		STOCKHOLM	SUPE	FINSSK		STUREPLAN 19				107 81 STOCKHOLM	SWEDEN			
FI	U	AABSDE31	XXX	AACHENER BAUSPARKASSE AKTIENGESELLSCHAFT		AACHEN	NSWB			THEATERSTRASSE 92-94				52062 AACHEN	GERMANY			
FI	U	AACBFR21	XXX	ALSACIENNE DE CREDIT-BAIL IMMOBILIER		STRASBOURG	NSWB			7 PLACE SEBASTIEN BRANT				67001 STRASBOURG CEDEX	FRANCE			
FI	U	AACCGB21	XXX	UBS CLEARING AND EXECUTION SERVICES LIMITED		LONDON	NSWB			199 BISHOPSGATE 	2ND FLOOR			LONDON EC2M 3TY	UNITED KINGDOM			
FI	U	AACGECE1	XXX	CAJA DE AHORRO Y CREDITO EL INGENIO		LOJA	NSWB			EL INGENIO (JUNTO A LA IGLESIA)				LOJA	ECUADOR			
FI	U	AACHDE31	XXX	'AACHENER' GRUNDVERMOEGEN-KAPITALANLAGEGESELLSCHAFT MIT BESCHRANKTER HAFTUNG		KOELN	NSWB			WOERTHSTRASSE 32				50668 KOELN	GERMANY			
FI	U	AACIFRP1	XXX	ABN AMRO COMMUNICATIONS INTERNATIONALES		PARIS	NSWB			3, AVENUE HOCHE				75008 PARIS	FRANCE			
FI	U	AACLZAJJ	CIM	ANGLO AMERICAN SA FINANCE LIMITED		JOHANNESBURG	MCCO	FIN						JOHANNESBURG	SOUTH AFRICA			
FI	U	AACLZAJJ	XXX	ANGLO AMERICAN SA FINANCE LIMITED		JOHANNESBURG	MCCO	FIN		MAIN STREET 45				JOHANNESBURG 2000	SOUTH AFRICA			
FI	U	AACMUS41	XXX	AAM COMPANY		CHICAGO,IL	NSWB			30 N LASALLE ST 	SUITE 3500			CHICAGO,IL 60602	UNITED STATES			
FI	U	AACNGB21	XXX	ABN AMRO CORPORATE FINANCE LIMITED		LONDON	NSWB			250 BISHOPGATE				LONDON EC2M 4AA	UNITED KINGDOM			
FI	U	AACOUS31	XXX	AMBAC ASSURANCE CORPORATION		NEW YORK,NY	NSWB			ONE STATE STREET PLAZA				NEW YORK,NY 10004	UNITED STATES			
FI	U	AACRECE1	XXX	CAJA DE AHORRO Y CREDITO NUESTRA SENORA DE LA MERCED		OLMEDO	NSWB			CENTRO DE OLMEDO,CALLES ISIDRO 	AYORA Y LA MERCED,JUNTO AL PARQUE 	CENTRAL		OLMEDO	ECUADOR			
FI	U	AACSDE33	DOT	SPARKASSE AACHEN	(DOTATION ACC)	AACHEN	SUPE	FIN	CMI					AACHEN	GERMANY			
FI	U	AACSDE33	XXX	SPARKASSE AACHEN		AACHEN	SUPE	FINSCOTGT		MUENSTERPLATZ 7-9				52059 AACHEN	GERMANY	POB 1000	52059 AACHEN	GERMANY
FI	U	AACUECE1	XXX	CAJA DE AHORRO Y CREDITO MANU		SARAGURO	NSWB			SUCRE Y 15 DE AGOSTO				SARAGURO	ECUADOR			
FI	U	AAEAFRP1	XXX	ABC ARBITRAGE ASSET MANAGEMENT		PARIS	NSWB			40 RUE NOTRE-DAME DES VICTOIRES				75002 PARIS	FRANCE			
FI	U	AAEMNL21	XXX	ANTHOS ASSET MANAGEMENT B.V.		AMSTERDAM	NSWB			JACHTHAVENWEG 111				1008 AB AMSTERDAM	NETHERLANDS			
FI	U	AAFAFRP1	XXX	AAZ FINANCES SA		PARIS	NSWB			8, RUE DE L'ARCADE				75008 PARIS	FRANCE			
FI	U	AAFFFRP1	XXX	ABN AMRO FUTURES FRANCE		PARIS	NSWB			40 RUE DE COURCELLES				75388 PARIS CEDEX 08	FRANCE			
FI	U	AAFMGB21	XXX	ABN AMRO FUND MANAGERS LIMITED		LONDON	NSWB			82 BISHOPSGATE				LONDON EC2N 4BN	UNITED KINGDOM			
FI	U	AAFNFRP1	XXX	ABN AMRO FIXED INCOME FRANCE		PARIS	NSWB			40 RUE DE COURCELLES				75008 PARIS	FRANCE			
FI	U	AAGOCHZ1	XXX	UBS CARD CENTER AG		GLATTBRUGG	NSWB			FLUGHOFSTRASSE 35				8001 GLATTBRUGG	SWITZERLAND	POB 927	8001 ZURICH	SWITZERLAND
FI	U	AAGSIT21	XXX	ALPE ADRIA GESTIONI SIM		PORDENONE	NSWB			CSO V EMANUELE II 20B				PORDENONE	ITALY			
FI	U	AAHOGB21	XXX	ABN AMRO HOARE GOVETT SECURITIES		LONDON	NSWB			4 BROADGATE				LONDON EC2M 7LE	UNITED KINGDOM			
FI	U	AAHTHUH1	XXX	K AND H EQUITIES TANACSADO ZARTKOER EN M KOED RESZVENYTARSASAG		BUDAPEST	NSWB			VIGADO TER 1.				BUDAPEST 1051	HUNGARY			
FI	U	AAHUAEAD	XXX	AHMED AL HUSSAIN MONEY EXCHANGE EST		DUBAI	SUPE	FIN		MOHD.AL SAYED ABDULLAH 	G/F 	AL SABKHA, DEIRA 2		1283 DUBAI	UNITED ARAB EMIRATES			
FI	U	AAHVGB21	XXX	ABN AMRO HOARE GOVETT CORPORATE FINANCE LTD.		LONDON	NSWB			4 BROADGATE				LONDON EC2M 7LE	UNITED KINGDOM			
FI	U	AAIAATW1	XXX	AIBC ANGLO IRISH BANK (AUSTRIA) KAPITALANLAGEGESELLSCHAFT M.B.H.		VIENNA	NSWB			RATHAUSSTRASSE 20				VIENNA 1010	AUSTRIA			
FI	U	AAILLUL1	XXX	ASPECTA ASSURANCE INTERNATIONAL LUXEMBOURG S.A.		LUXEMBOURG	NSWB			5, RUE EUGENE RUPPERT				2453 LUXEMBOURG	LUXEMBOURG			
FI	U	AAISALTR	XXX	UNITED BANK OF ALBANIA SH.A		TIRANA	SUPE	AIPEB+FINTG+		BLVD. DESHMORET E KOMBIT 8				128 TIRANA	ALBANIA			
FI	U	AAKFSEM1	XXX	AARHUSKARLSHAMN FINANCE AB		MALMO	NSWB			WORLD TRADE CENTER 	JUNGMANSGATAN 12			211 19 MALMO	SWEDEN			
